"Name","TID","IconSWF","IconExportName","WinsIconExportName","Enabled","JoinCost","JoinCostResource","MaxWins","MaxLoss","RewardCards","RewardGold"
"string","string","String","String","String","boolean","int","string","int","int","int","int"
"Gold","TID_PUBLIC_TOURNAMENT_GOLD","sc/ui.sc","icon_tournament_gold","tournament_open_wins_badge_gold","TRUE",100,"Diamonds",12,3,20,1400
,,,,,,,,,,30,1900
,,,,,,,,,,50,2500
,,,,,,,,,,85,3200
,,,,,,,,,,130,4000
,,,,,,,,,,185,5000
,,,,,,,,,,250,6200
,,,,,,,,,,330,7600
,,,,,,,,,,420,9300
,,,,,,,,,,530,11500
,,,,,,,,,,670,14200
,,,,,,,,,,860,17500
,,,,,,,,,,1100,22000
"Bronze","TID_PUBLIC_TOURNAMENT_BRONZE","sc/ui.sc","icon_tournament_bronze","tournament_open_wins_badge_bronze","TRUE",10,"Diamonds",12,3,2,130
,,,,,,,,,,3,180
,,,,,,,,,,5,240
,,,,,,,,,,8,310
,,,,,,,,,,12,390
,,,,,,,,,,17,480
,,,,,,,,,,23,590
,,,,,,,,,,30,720
,,,,,,,,,,38,880
,,,,,,,,,,48,1080
,,,,,,,,,,61,1330
,,,,,,,,,,78,1630
,,,,,,,,,,100,2000
